,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
849,169,2,5,0,8,0
850,170,2,0,0,5,0
851,170,2,1,0,4,0
852,170,2,3,9,5,0
853,170,2,4,1,7,0
854,170,2,5,0,7,0
855,171,2,0,0,7,0
856,171,2,1,0,4,0
857,171,2,3,28,7,0
858,171,2,4,1,7,0
859,171,2,5,0,7,0
860,172,3,0,0,6,0
861,172,3,1,0,7,0
862,172,3,2,13,7,0
863,172,3,4,12,4,0
864,172,3,5,0,4,0
865,173,2,0,0,7,0
866,173,2,1,0,3,0
867,173,2,3,19,8,0
868,173,2,4,0,8,0
869,173,2,5,0,8,0
870,174,2,0,0,2,0
871,174,2,1,0,9,0
872,174,2,3,35,2,0
873,174,2,4,6,2,0
874,174,2,5,0,2,0
875,175,3,0,0,3,0
876,175,3,1,0,6,0
877,175,3,2,30,7,0
878,175,3,4,2,5,0
879,175,3,5,0,4,0
880,176,3,0,0,2,0
881,176,3,1,0,7,0
882,176,3,2,32,8,0
883,176,3,4,6,4,0
884,176,3,5,0,4,0
885,177,2,0,0,7,0
886,177,2,1,0,4,0
887,177,2,3,16,7,0
888,177,2,4,1,7,0
889,177,2,5,0,7,0
890,178,2,0,0,6,0
891,178,2,1,0,4,0
892,178,2,3,5,7,0
893,178,2,4,2,7,0
894,178,2,5,0,7,0
895,179,2,0,0,6,0
896,179,2,1,0,6,0
897,179,2,3,22,6,0
898,179,2,4,0,5,0
899,179,2,5,0,6,0
900,180,2,0,0,8,0
901,180,2,1,0,3,0
902,180,2,3,26,8,0
903,180,2,4,7,8,0
904,180,2,5,0,8,0
905,181,3,0,0,6,0
906,181,3,1,0,10,0
907,181,3,2,15,10,1
908,181,3,4,0,1,0
909,181,3,5,0,1,0
910,182,2,0,0,5,0
911,182,2,1,0,6,0
912,182,2,3,7,5,0
913,182,2,4,1,6,0
914,182,2,5,0,6,0
915,183,4,0,0,7,0
916,183,4,1,0,8,0
917,183,4,2,3,8,0
918,183,4,3,34,6,0
919,183,4,5,0,3,0
920,184,2,0,0,7,0
921,184,2,1,0,4,0
922,184,2,3,25,7,0
923,184,2,4,0,7,0
924,184,2,5,0,7,0
925,185,3,0,0,5,0
926,185,3,1,0,6,0
927,185,3,2,36,7,0
928,185,3,4,30,5,0
929,185,3,5,0,4,0
930,186,2,0,0,5,0
931,186,2,1,0,5,0
932,186,2,3,37,6,0
933,186,2,4,1,6,0
934,186,2,5,0,6,0
935,187,3,0,0,3,0
936,187,3,1,0,5,0
937,187,3,2,27,6,0
938,187,3,4,1,6,0
939,187,3,5,0,6,0
940,188,4,0,0,9,0
941,188,4,1,0,9,0
942,188,4,2,7,8,0
943,188,4,3,25,6,0
944,188,4,5,0,3,0
945,189,2,0,0,7,0
946,189,2,1,0,3,0
947,189,2,3,19,8,0
948,189,2,4,0,8,0
949,189,2,5,0,8,0
950,190,3,0,0,4,0
951,190,3,1,0,5,0
952,190,3,2,39,5,0
953,190,3,4,6,6,0
954,190,3,5,0,6,0
955,191,3,0,0,3,0
956,191,3,1,0,6,0
957,191,3,2,36,7,0
958,191,3,4,0,5,0
959,191,3,5,0,5,0
960,192,3,0,0,4,0
961,192,3,1,0,4,0
962,192,3,2,25,6,0
963,192,3,4,0,7,0
964,192,3,5,0,7,0
965,193,4,0,0,7,0
966,193,4,1,0,9,0
967,193,4,2,10,9,0
968,193,4,3,33,4,0
969,193,4,5,0,2,0
970,194,3,0,0,4,0
971,194,3,1,0,4,0
972,194,3,2,41,5,0
973,194,3,4,1,8,0
974,194,3,5,0,7,0
975,195,2,0,0,6,0
976,195,2,1,0,4,0
977,195,2,3,32,6,0
978,195,2,4,2,7,0
979,195,2,5,0,7,0
980,196,2,0,0,7,0
981,196,2,1,0,4,0
982,196,2,3,15,7,0
983,196,2,4,0,7,0
984,196,2,5,0,7,0
985,197,2,0,0,5,0
986,197,2,1,0,5,0
987,197,2,3,23,5,0
988,197,2,4,1,7,0
