,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
491,98,2,1,0,1,0
492,98,2,3,17,8,0
493,98,2,4,2,8,0
494,98,2,5,1,7,0
495,99,3,0,1,5,0
496,99,3,1,2,9,0
497,99,3,2,16,8,0
498,99,3,4,7,10,0
499,99,3,5,0,8,0
500,100,2,0,0,6,0
501,100,2,1,1,7,0
502,100,2,3,18,6,0
503,100,2,4,7,8,0
504,100,2,5,0,8,0
505,101,2,0,0,7,0
506,101,2,1,1,8,0
507,101,2,3,32,7,0
508,101,2,4,4,10,0
509,101,2,5,1,10,0
510,102,3,0,0,5,0
511,102,3,1,0,8,0
512,102,3,2,17,7,0
513,102,3,4,1,8,0
514,102,3,5,0,9,0
515,103,4,0,0,6,0
516,103,4,1,1,7,0
517,103,4,2,8,10,0
518,103,4,3,31,7,0
519,103,4,5,0,7,0
520,104,3,0,0,3,0
521,104,3,1,0,6,0
522,104,3,2,15,9,0
523,104,3,4,1,7,0
524,104,3,5,1,8,0
525,105,4,0,0,9,0
526,105,4,1,2,9,0
527,105,4,2,10,10,0
528,105,4,3,35,6,0
529,105,4,5,0,7,0
530,106,3,0,0,3,0
531,106,3,1,0,8,0
532,106,3,2,22,8,0
533,106,3,4,10,5,0
534,106,3,5,0,3,0
535,107,2,0,0,4,0
536,107,2,1,0,5,0
537,107,2,3,11,7,0
538,107,2,4,3,6,0
539,107,2,5,0,8,0
540,108,3,0,0,8,0
541,108,3,1,0,3,0
542,108,3,2,31,8,0
543,108,3,4,7,6,0
544,108,3,5,0,7,0
545,109,2,0,0,2,0
546,109,2,1,0,7,0
547,109,2,3,22,7,0
548,109,2,4,1,7,0
549,109,2,5,0,6,0
550,110,4,0,1,8,0
551,110,4,1,0,6,0
552,110,4,2,21,9,0
553,110,4,3,48,6,0
554,110,4,5,0,7,0
555,111,2,0,0,8,0
556,111,2,1,0,7,0
557,111,2,3,15,9,0
558,111,2,4,2,9,0
559,111,2,5,0,8,0
560,112,4,0,0,7,0
561,112,4,1,0,6,0
562,112,4,2,25,7,0
563,112,4,3,24,8,0
564,112,4,5,0,7,0
565,113,2,0,0,7,0
566,113,2,1,0,9,0
567,113,2,3,3,9,0
568,113,2,4,0,8,0
569,113,2,5,0,8,0
570,114,2,0,0,5,0
571,114,2,1,0,4,0
572,114,2,3,26,3,0
573,114,2,4,5,7,0
574,114,2,5,0,7,0
575,115,3,0,0,7,0
576,115,3,1,0,8,0
577,115,3,2,18,7,0
578,115,3,4,6,4,0
579,115,3,5,0,3,0
580,116,3,0,0,4,0
581,116,3,1,0,2,0
582,116,3,2,31,6,0
583,116,3,4,17,7,0
584,116,3,5,0,5,0
585,117,2,0,0,5,0
586,117,2,1,0,1,0
587,117,2,3,24,8,0
588,117,2,4,8,8,0
589,117,2,5,0,10,0
590,118,2,0,0,7,0
591,118,2,1,0,7,0
592,118,2,3,14,7,0
593,118,2,4,1,9,0
594,118,2,5,0,9,0
595,119,3,0,0,5,0
596,119,3,1,0,3,0
597,119,3,2,14,8,0
598,119,3,4,8,10,0
599,119,3,5,0,8,0
600,120,3,0,1,9,0
601,120,3,1,0,5,0
602,120,3,2,36,8,0
603,120,3,4,4,4,0
604,120,3,5,0,7,0
605,121,3,0,0,5,0
606,121,3,1,2,6,0
607,121,3,2,45,7,0
608,121,3,4,9,5,0
609,121,3,5,0,9,0
610,122,3,0,0,5,0
611,122,3,1,0,5,0
612,122,3,2,19,8,0
613,122,3,4,3,7,0
614,122,3,5,0,7,0
615,123,2,0,0,6,0
616,123,2,1,0,7,0
617,123,2,3,26,5,0
618,123,2,4,2,7,0
619,123,2,5,1,8,0
620,124,3,0,0,7,0
621,124,3,1,0,4,0
622,124,3,2,32,8,0
623,124,3,4,5,7,0
624,124,3,5,0,8,0
625,125,2,0,1,8,0
626,125,2,1,1,7,0
627,125,2,3,31,6,0
628,125,2,4,3,7,0
629,125,2,5,0,8,0
630,126,3,0,1,9,0
631,126,3,1,0,10,0
632,126,3,2,20,8,0
633,126,3,4,0,4,0
634,126,3,5,0,4,0
635,127,2,0,0,7,0
636,127,2,1,0,6,0
637,127,2,3,27,5,0
638,127,2,4,5,7,0
639,127,2,5,0,8,0
640,128,2,0,0,5,0
641,128,2,1,0,10,0
642,128,2,3,21,7,0
643,128,2,4,4,9,0
644,128,2,5,0,9,0
645,129,3,0,0,8,0
646,129,3,1,1,6,0
647,129,3,2,20,8,0
648,129,3,4,2,9,0
649,129,3,5,0,6,0
650,130,3,0,0,8,0
651,130,3,1,0,5,0
652,130,3,2,32,7,0
653,130,3,4,14,5,0
654,130,3,5,0,7,0
655,131,2,0,0,4,0
656,131,2,1,2,5,0
657,131,2,3,17,6,0
658,131,2,4,1,9,0
659,131,2,5,0,7,0
660,132,2,0,0,8,0
661,132,2,1,0,9,0
662,132,2,3,11,11,11
663,132,2,4,3,10,2
664,132,2,5,1,9,0
665,133,3,0,0,8,0
666,133,3,1,1,8,0
667,133,3,2,12,8,0
668,133,3,4,32,4,0
669,133,3,5,0,5,0
670,134,3,0,0,7,0
671,134,3,1,0,4,0
672,134,3,2,20,8,0
673,134,3,4,4,6,0
674,134,3,5,1,9,0
675,135,2,0,0,7,0
676,135,2,1,0,4,0
677,135,2,3,13,10,0
678,135,2,4,1,7,0
679,135,2,5,0,7,0
680,136,2,0,0,3,0
681,136,2,1,0,5,0
682,136,2,3,32,5,0
683,136,2,4,4,10,0
684,136,2,5,0,9,0
685,137,2,0,0,7,0
686,137,2,1,0,9,0
687,137,2,3,6,5,0
688,137,2,4,2,9,0
689,137,2,5,0,5,0
690,138,2,0,0,4,0
691,138,2,1,1,7,0
692,138,2,3,15,8,0
693,138,2,4,5,10,1
694,138,2,5,1,9,0
695,139,3,0,1,8,0
696,139,3,1,1,9,0
697,139,3,2,14,9,0
698,139,3,4,2,5,0
699,139,3,5,0,8,0
700,140,4,0,0,8,0
701,140,4,1,0,8,0
702,140,4,2,11,8,0
703,140,4,3,24,9,0
704,140,4,5,0,7,0
705,141,3,0,0,6,0
706,141,3,1,1,8,0
707,141,3,2,20,6,0
708,141,3,4,12,7,0
709,141,3,5,1,8,0
710,142,4,0,1,8,0
711,142,4,1,1,9,0
712,142,4,2,15,10,0
713,142,4,3,34,9,0
714,142,4,5,0,5,0
715,143,2,0,0,6,0
716,143,2,1,0,3,0
717,143,2,3,26,6,0
718,143,2,4,1,7,0
719,143,2,5,0,8,0
720,144,3,0,0,2,0
721,144,3,1,0,6,0
722,144,3,2,22,6,0
723,144,3,4,3,4,0
724,144,3,5,0,4,0
725,145,2,0,1,7,0
726,145,2,1,0,6,0
727,145,2,3,19,10,0
728,145,2,4,2,8,0
729,145,2,5,0,8,0
730,146,3,0,0,7,0
731,146,3,1,1,4,0
732,146,3,2,38,4,0
733,146,3,4,8,6,0
734,146,3,5,0,5,0
735,147,3,0,0,6,0
736,147,3,1,1,4,0
737,147,3,2,37,8,0
738,147,3,4,8,7,0
739,147,3,5,0,9,0
740,148,3,0,0,7,0
741,148,3,1,1,7,0
742,148,3,2,30,6,0
743,148,3,4,0,6,0
744,148,3,5,0,7,0
745,149,2,0,0,7,0
746,149,2,1,0,4,0
747,149,2,3,3,8,0
748,149,2,4,1,8,0
749,149,2,5,0,7,0
750,150,3,0,0,8,0
751,150,3,1,0,8,0
752,150,3,2,17,11,17
753,150,3,4,4,11,4
754,150,3,5,0,7,0
755,151,3,0,1,8,0
756,151,3,1,0,3,0
757,151,3,2,15,11,15
758,151,3,4,12,6,0
759,151,3,5,0,3,0
760,152,2,0,0,6,0
761,152,2,1,1,7,0
762,152,2,3,26,3,0
763,152,2,4,4,8,0
764,152,2,5,0,9,0
765,153,2,0,0,9,0
766,153,2,1,1,9,0
767,153,2,3,31,8,0
768,153,2,4,4,11,4
769,153,2,5,0,8,0
770,154,3,0,0,8,0
771,154,3,1,0,5,0
772,154,3,2,32,7,0
773,154,3,4,14,5,0
774,154,3,5,0,7,0
775,155,2,0,0,9,0
776,155,2,1,0,8,0
777,155,2,3,27,9,0
778,155,2,4,1,8,0
779,155,2,5,0,5,0
780,156,3,0,0,6,0
781,156,3,1,1,8,0
782,156,3,2,34,4,0
783,156,3,4,4,7,0
784,156,3,5,0,8,0
785,157,4,0,0,8,0
786,157,4,1,0,6,0
787,157,4,2,21,8,0
788,157,4,3,39,5,0
789,157,4,5,0,6,0
790,158,2,0,0,6,0
791,158,2,1,0,7,0
792,158,2,3,30,6,0
793,158,2,4,7,9,1
794,158,2,5,0,8,0
795,159,3,0,0,9,0
796,159,3,1,1,8,0
797,159,3,2,14,9,0
798,159,3,4,7,7,0
799,159,3,5,0,6,0
800,160,3,0,0,10,0
801,160,3,1,0,8,0
802,160,3,2,14,5,0
803,160,3,4,37,2,0
804,160,3,5,0,5,0
805,161,3,0,0,7,0
806,161,3,1,0,3,0
807,161,3,2,33,5,0
808,161,3,4,2,9,0
809,161,3,5,0,6,0
810,162,3,0,1,7,0
811,162,3,1,3,10,0
812,162,3,2,20,9,0
813,162,3,4,1,4,0
814,162,3,5,0,9,0
815,163,2,0,0,9,0
816,163,2,1,0,7,0
817,163,2,3,14,7,0
818,163,2,4,3,11,3
819,163,2,5,0,9,0
820,164,2,0,0,7,0
821,164,2,1,0,4,0
822,164,2,3,26,5,0
823,164,2,4,2,8,0
824,164,2,5,0,8,0
825,165,3,0,0,9,0
826,165,3,1,0,8,0
827,165,3,2,14,9,0
828,165,3,4,1,11,1
829,165,3,5,0,10,0
830,166,3,0,0,5,0
831,166,3,1,0,5,0
832,166,3,2,35,9,0
