,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
667,133,4,2,15,7,0
668,133,4,3,16,5,0
669,133,4,5,0,2,0
670,134,3,0,0,4,0
671,134,3,1,0,0,0
672,134,3,2,20,9,0
673,134,3,4,1,8,0
674,134,3,5,0,7,0
675,135,2,0,0,5,0
676,135,2,1,0,5,0
677,135,2,3,12,6,0
678,135,2,4,0,4,0
679,135,2,5,0,8,0
680,136,3,0,0,0,0
681,136,3,1,0,4,0
682,136,3,2,20,6,0
683,136,3,4,3,7,0
684,136,3,5,0,7,0
685,137,2,0,0,5,0
686,137,2,1,0,7,0
687,137,2,3,1,6,0
688,137,2,4,2,8,0
689,137,2,5,0,6,0
690,138,3,0,0,5,0
691,138,3,1,0,1,0
692,138,3,2,31,3,0
693,138,3,4,0,7,0
694,138,3,5,0,8,0
695,139,3,0,0,5,0
696,139,3,1,0,4,0
697,139,3,2,14,5,0
698,139,3,4,5,7,0
699,139,3,5,0,6,0
700,140,2,0,0,6,0
701,140,2,1,0,6,0
702,140,2,3,19,5,0
703,140,2,4,0,2,0
704,140,2,5,0,3,0
705,141,2,0,0,10,0
706,141,2,1,0,8,0
707,141,2,3,17,6,0
708,141,2,4,4,6,0
709,141,2,5,0,7,0
710,142,3,0,0,6,0
711,142,3,1,0,7,0
712,142,3,2,9,9,0
713,142,3,4,0,0,0
714,142,3,5,0,5,0
715,143,3,0,0,2,0
716,143,3,1,0,0,0
717,143,3,2,23,7,0
718,143,3,4,1,8,0
719,143,3,5,0,8,0
720,144,2,0,0,6,0
721,144,2,1,0,9,0
722,144,2,3,11,4,0
723,144,2,4,5,6,0
724,144,2,5,0,5,0
725,145,2,0,0,5,0
726,145,2,1,0,6,0
727,145,2,3,7,8,0
728,145,2,4,0,7,0
729,145,2,5,0,7,0
730,146,3,0,0,6,0
731,146,3,1,0,6,0
732,146,3,2,19,5,0
733,146,3,4,21,7,0
734,146,3,5,0,5,0
735,147,4,0,1,2,0
736,147,4,1,0,3,0
737,147,4,2,14,5,0
738,147,4,3,38,7,0
739,147,4,5,0,8,0
740,148,2,0,0,7,0
741,148,2,1,0,7,0
742,148,2,3,22,5,0
743,148,2,4,1,5,0
744,148,2,5,0,5,0
745,149,2,0,0,6,0
746,149,2,1,0,3,0
747,149,2,3,0,8,0
748,149,2,4,0,5,0
749,149,2,5,0,9,0
750,150,2,0,0,6,0
751,150,2,1,0,6,0
752,150,2,3,12,5,0
753,150,2,4,1,7,0
754,150,2,5,0,5,0
755,151,3,0,0,6,0
756,151,3,1,0,7,0
757,151,3,2,22,5,0
758,151,3,4,3,6,0
759,151,3,5,0,0,0
